Gtype 1
Gr1_inner 53
Gr1_outer 85
Gr2_inner 53
Gr2_outer 85
Gdz 40
Gx0 0
Gy0 0
Gz0 0
Grot_x 0
Grot_y 0
Grot_z 0
Gcrystal_dx 3.8
Gcrystal_dy 3.8
Gcrystal_dz 40
Gcarbon_gap 0.1
Gair_gap 0
Gmaterial 7.5
Gcolor_R 1
Gcolor_G 0
Gcolor_B 0
#Tower: type, idx_j, idx_k, idx_l, x[cm], y[cm], z[cm], dx[cm], dy[cm], dz[cm], rot_x, rot_y, rot_z
Tower 0 0 15 0 -82 -22 -210 3.8 3.8 40 0 0 0
Tower 0 0 16 0 -82 -18 -210 3.8 3.8 40 0 0 0
Tower 0 0 17 0 -82 -14 -210 3.8 3.8 40 0 0 0
Tower 0 0 18 0 -82 -10 -210 3.8 3.8 40 0 0 0
Tower 0 0 19 0 -82 -6 -210 3.8 3.8 40 0 0 0
Tower 0 0 20 0 -82 -2 -210 3.8 3.8 40 0 0 0
Tower 0 0 21 0 -82 2 -210 3.8 3.8 40 0 0 0
Tower 0 0 22 0 -82 6 -210 3.8 3.8 40 0 0 0
Tower 0 0 23 0 -82 10 -210 3.8 3.8 40 0 0 0
Tower 0 0 24 0 -82 14 -210 3.8 3.8 40 0 0 0
Tower 0 0 25 0 -82 18 -210 3.8 3.8 40 0 0 0
Tower 0 0 26 0 -82 22 -210 3.8 3.8 40 0 0 0
Tower 0 1 13 0 -78 -30 -210 3.8 3.8 40 0 0 0
Tower 0 1 14 0 -78 -26 -210 3.8 3.8 40 0 0 0
Tower 0 1 15 0 -78 -22 -210 3.8 3.8 40 0 0 0
Tower 0 1 16 0 -78 -18 -210 3.8 3.8 40 0 0 0
Tower 0 1 17 0 -78 -14 -210 3.8 3.8 40 0 0 0
Tower 0 1 18 0 -78 -10 -210 3.8 3.8 40 0 0 0
Tower 0 1 19 0 -78 -6 -210 3.8 3.8 40 0 0 0
Tower 0 1 20 0 -78 -2 -210 3.8 3.8 40 0 0 0
Tower 0 1 21 0 -78 2 -210 3.8 3.8 40 0 0 0
Tower 0 1 22 0 -78 6 -210 3.8 3.8 40 0 0 0
Tower 0 1 23 0 -78 10 -210 3.8 3.8 40 0 0 0
Tower 0 1 24 0 -78 14 -210 3.8 3.8 40 0 0 0
Tower 0 1 25 0 -78 18 -210 3.8 3.8 40 0 0 0
Tower 0 1 26 0 -78 22 -210 3.8 3.8 40 0 0 0
Tower 0 1 27 0 -78 26 -210 3.8 3.8 40 0 0 0
Tower 0 1 28 0 -78 30 -210 3.8 3.8 40 0 0 0
Tower 0 2 11 0 -74 -38 -210 3.8 3.8 40 0 0 0
Tower 0 2 12 0 -74 -34 -210 3.8 3.8 40 0 0 0
Tower 0 2 13 0 -74 -30 -210 3.8 3.8 40 0 0 0
Tower 0 2 14 0 -74 -26 -210 3.8 3.8 40 0 0 0
Tower 0 2 15 0 -74 -22 -210 3.8 3.8 40 0 0 0
Tower 0 2 16 0 -74 -18 -210 3.8 3.8 40 0 0 0
Tower 0 2 17 0 -74 -14 -210 3.8 3.8 40 0 0 0
Tower 0 2 18 0 -74 -10 -210 3.8 3.8 40 0 0 0
Tower 0 2 19 0 -74 -6 -210 3.8 3.8 40 0 0 0
Tower 0 2 20 0 -74 -2 -210 3.8 3.8 40 0 0 0
Tower 0 2 21 0 -74 2 -210 3.8 3.8 40 0 0 0
Tower 0 2 22 0 -74 6 -210 3.8 3.8 40 0 0 0
Tower 0 2 23 0 -74 10 -210 3.8 3.8 40 0 0 0
Tower 0 2 24 0 -74 14 -210 3.8 3.8 40 0 0 0
Tower 0 2 25 0 -74 18 -210 3.8 3.8 40 0 0 0
Tower 0 2 26 0 -74 22 -210 3.8 3.8 40 0 0 0
Tower 0 2 27 0 -74 26 -210 3.8 3.8 40 0 0 0
Tower 0 2 28 0 -74 30 -210 3.8 3.8 40 0 0 0
Tower 0 2 29 0 -74 34 -210 3.8 3.8 40 0 0 0
Tower 0 2 30 0 -74 38 -210 3.8 3.8 40 0 0 0
Tower 0 3 9 0 -70 -46 -210 3.8 3.8 40 0 0 0
Tower 0 3 10 0 -70 -42 -210 3.8 3.8 40 0 0 0
Tower 0 3 11 0 -70 -38 -210 3.8 3.8 40 0 0 0
Tower 0 3 12 0 -70 -34 -210 3.8 3.8 40 0 0 0
Tower 0 3 13 0 -70 -30 -210 3.8 3.8 40 0 0 0
Tower 0 3 14 0 -70 -26 -210 3.8 3.8 40 0 0 0
Tower 0 3 15 0 -70 -22 -210 3.8 3.8 40 0 0 0
Tower 0 3 16 0 -70 -18 -210 3.8 3.8 40 0 0 0
Tower 0 3 17 0 -70 -14 -210 3.8 3.8 40 0 0 0
Tower 0 3 18 0 -70 -10 -210 3.8 3.8 40 0 0 0
Tower 0 3 19 0 -70 -6 -210 3.8 3.8 40 0 0 0
Tower 0 3 20 0 -70 -2 -210 3.8 3.8 40 0 0 0
Tower 0 3 21 0 -70 2 -210 3.8 3.8 40 0 0 0
Tower 0 3 22 0 -70 6 -210 3.8 3.8 40 0 0 0
Tower 0 3 23 0 -70 10 -210 3.8 3.8 40 0 0 0
Tower 0 3 24 0 -70 14 -210 3.8 3.8 40 0 0 0
Tower 0 3 25 0 -70 18 -210 3.8 3.8 40 0 0 0
Tower 0 3 26 0 -70 22 -210 3.8 3.8 40 0 0 0
Tower 0 3 27 0 -70 26 -210 3.8 3.8 40 0 0 0
Tower 0 3 28 0 -70 30 -210 3.8 3.8 40 0 0 0
Tower 0 3 29 0 -70 34 -210 3.8 3.8 40 0 0 0
Tower 0 3 30 0 -70 38 -210 3.8 3.8 40 0 0 0
Tower 0 3 31 0 -70 42 -210 3.8 3.8 40 0 0 0
Tower 0 3 32 0 -70 46 -210 3.8 3.8 40 0 0 0
Tower 0 4 8 0 -66 -50 -210 3.8 3.8 40 0 0 0
Tower 0 4 9 0 -66 -46 -210 3.8 3.8 40 0 0 0
Tower 0 4 10 0 -66 -42 -210 3.8 3.8 40 0 0 0
Tower 0 4 11 0 -66 -38 -210 3.8 3.8 40 0 0 0
Tower 0 4 12 0 -66 -34 -210 3.8 3.8 40 0 0 0
Tower 0 4 13 0 -66 -30 -210 3.8 3.8 40 0 0 0
Tower 0 4 14 0 -66 -26 -210 3.8 3.8 40 0 0 0
Tower 0 4 15 0 -66 -22 -210 3.8 3.8 40 0 0 0
Tower 0 4 16 0 -66 -18 -210 3.8 3.8 40 0 0 0
Tower 0 4 17 0 -66 -14 -210 3.8 3.8 40 0 0 0
Tower 0 4 18 0 -66 -10 -210 3.8 3.8 40 0 0 0
Tower 0 4 19 0 -66 -6 -210 3.8 3.8 40 0 0 0
Tower 0 4 20 0 -66 -2 -210 3.8 3.8 40 0 0 0
Tower 0 4 21 0 -66 2 -210 3.8 3.8 40 0 0 0
Tower 0 4 22 0 -66 6 -210 3.8 3.8 40 0 0 0
Tower 0 4 23 0 -66 10 -210 3.8 3.8 40 0 0 0
Tower 0 4 24 0 -66 14 -210 3.8 3.8 40 0 0 0
Tower 0 4 25 0 -66 18 -210 3.8 3.8 40 0 0 0
Tower 0 4 26 0 -66 22 -210 3.8 3.8 40 0 0 0
Tower 0 4 27 0 -66 26 -210 3.8 3.8 40 0 0 0
Tower 0 4 28 0 -66 30 -210 3.8 3.8 40 0 0 0
Tower 0 4 29 0 -66 34 -210 3.8 3.8 40 0 0 0
Tower 0 4 30 0 -66 38 -210 3.8 3.8 40 0 0 0
Tower 0 4 31 0 -66 42 -210 3.8 3.8 40 0 0 0
Tower 0 4 32 0 -66 46 -210 3.8 3.8 40 0 0 0
Tower 0 4 33 0 -66 50 -210 3.8 3.8 40 0 0 0
Tower 0 5 6 0 -62 -58 -210 3.8 3.8 40 0 0 0
Tower 0 5 7 0 -62 -54 -210 3.8 3.8 40 0 0 0
Tower 0 5 8 0 -62 -50 -210 3.8 3.8 40 0 0 0
Tower 0 5 9 0 -62 -46 -210 3.8 3.8 40 0 0 0
Tower 0 5 10 0 -62 -42 -210 3.8 3.8 40 0 0 0
Tower 0 5 11 0 -62 -38 -210 3.8 3.8 40 0 0 0
Tower 0 5 12 0 -62 -34 -210 3.8 3.8 40 0 0 0
Tower 0 5 13 0 -62 -30 -210 3.8 3.8 40 0 0 0
Tower 0 5 14 0 -62 -26 -210 3.8 3.8 40 0 0 0
Tower 0 5 15 0 -62 -22 -210 3.8 3.8 40 0 0 0
Tower 0 5 16 0 -62 -18 -210 3.8 3.8 40 0 0 0
Tower 0 5 17 0 -62 -14 -210 3.8 3.8 40 0 0 0
Tower 0 5 18 0 -62 -10 -210 3.8 3.8 40 0 0 0
Tower 0 5 19 0 -62 -6 -210 3.8 3.8 40 0 0 0
Tower 0 5 20 0 -62 -2 -210 3.8 3.8 40 0 0 0
Tower 0 5 21 0 -62 2 -210 3.8 3.8 40 0 0 0
Tower 0 5 22 0 -62 6 -210 3.8 3.8 40 0 0 0
Tower 0 5 23 0 -62 10 -210 3.8 3.8 40 0 0 0
Tower 0 5 24 0 -62 14 -210 3.8 3.8 40 0 0 0
Tower 0 5 25 0 -62 18 -210 3.8 3.8 40 0 0 0
Tower 0 5 26 0 -62 22 -210 3.8 3.8 40 0 0 0
Tower 0 5 27 0 -62 26 -210 3.8 3.8 40 0 0 0
Tower 0 5 28 0 -62 30 -210 3.8 3.8 40 0 0 0
Tower 0 5 29 0 -62 34 -210 3.8 3.8 40 0 0 0
Tower 0 5 30 0 -62 38 -210 3.8 3.8 40 0 0 0
Tower 0 5 31 0 -62 42 -210 3.8 3.8 40 0 0 0
Tower 0 5 32 0 -62 46 -210 3.8 3.8 40 0 0 0
Tower 0 5 33 0 -62 50 -210 3.8 3.8 40 0 0 0
Tower 0 5 34 0 -62 54 -210 3.8 3.8 40 0 0 0
Tower 0 5 35 0 -62 58 -210 3.8 3.8 40 0 0 0
Tower 0 6 5 0 -58 -62 -210 3.8 3.8 40 0 0 0
Tower 0 6 6 0 -58 -58 -210 3.8 3.8 40 0 0 0
Tower 0 6 7 0 -58 -54 -210 3.8 3.8 40 0 0 0
Tower 0 6 8 0 -58 -50 -210 3.8 3.8 40 0 0 0
Tower 0 6 9 0 -58 -46 -210 3.8 3.8 40 0 0 0
Tower 0 6 10 0 -58 -42 -210 3.8 3.8 40 0 0 0
Tower 0 6 11 0 -58 -38 -210 3.8 3.8 40 0 0 0
Tower 0 6 12 0 -58 -34 -210 3.8 3.8 40 0 0 0
Tower 0 6 13 0 -58 -30 -210 3.8 3.8 40 0 0 0
Tower 0 6 14 0 -58 -26 -210 3.8 3.8 40 0 0 0
Tower 0 6 15 0 -58 -22 -210 3.8 3.8 40 0 0 0
Tower 0 6 16 0 -58 -18 -210 3.8 3.8 40 0 0 0
Tower 0 6 17 0 -58 -14 -210 3.8 3.8 40 0 0 0
Tower 0 6 18 0 -58 -10 -210 3.8 3.8 40 0 0 0
Tower 0 6 19 0 -58 -6 -210 3.8 3.8 40 0 0 0
Tower 0 6 20 0 -58 -2 -210 3.8 3.8 40 0 0 0
Tower 0 6 21 0 -58 2 -210 3.8 3.8 40 0 0 0
Tower 0 6 22 0 -58 6 -210 3.8 3.8 40 0 0 0
Tower 0 6 23 0 -58 10 -210 3.8 3.8 40 0 0 0
Tower 0 6 24 0 -58 14 -210 3.8 3.8 40 0 0 0
Tower 0 6 25 0 -58 18 -210 3.8 3.8 40 0 0 0
Tower 0 6 26 0 -58 22 -210 3.8 3.8 40 0 0 0
Tower 0 6 27 0 -58 26 -210 3.8 3.8 40 0 0 0
Tower 0 6 28 0 -58 30 -210 3.8 3.8 40 0 0 0
Tower 0 6 29 0 -58 34 -210 3.8 3.8 40 0 0 0
Tower 0 6 30 0 -58 38 -210 3.8 3.8 40 0 0 0
Tower 0 6 31 0 -58 42 -210 3.8 3.8 40 0 0 0
Tower 0 6 32 0 -58 46 -210 3.8 3.8 40 0 0 0
Tower 0 6 33 0 -58 50 -210 3.8 3.8 40 0 0 0
Tower 0 6 34 0 -58 54 -210 3.8 3.8 40 0 0 0
Tower 0 6 35 0 -58 58 -210 3.8 3.8 40 0 0 0
Tower 0 6 36 0 -58 62 -210 3.8 3.8 40 0 0 0
Tower 0 7 5 0 -54 -62 -210 3.8 3.8 40 0 0 0
Tower 0 7 6 0 -54 -58 -210 3.8 3.8 40 0 0 0
Tower 0 7 7 0 -54 -54 -210 3.8 3.8 40 0 0 0
Tower 0 7 8 0 -54 -50 -210 3.8 3.8 40 0 0 0
Tower 0 7 9 0 -54 -46 -210 3.8 3.8 40 0 0 0
Tower 0 7 10 0 -54 -42 -210 3.8 3.8 40 0 0 0
Tower 0 7 11 0 -54 -38 -210 3.8 3.8 40 0 0 0
Tower 0 7 12 0 -54 -34 -210 3.8 3.8 40 0 0 0
